素材ID,素材名称,主体,内容,类型,痛点,打点,打点分桶,呈现方式,演员,编导,后期,投放剪辑,制作月份,是否投放双开头,消耗,转化数,录入数,t0加微数,当月录入当月邀约数,当月录入当月初诊数,当月录入当月首付费数,当月录入当月付费金额,T0加微率,当月当期邀约率,当月当期到诊率,当月当期付费总金额,当月当期客单价,当月当期ROI
7580728461142982675,推送视频_笑笑9月爆款新广-广.mp4,广州,,,,,无,,,,,,,,5864.97,7,6,4,1,0,0,0,0.57,0.17,0.00,0,,0.00
7588093607501660195,推送视频_新版贴片-本地生活-33植发-美学实拍14-WL-舒曼-植出毛流感（小红书）.mp4,广州,植发,,,,无,,,舒曼,,,,,5116.42,12,11,4,4,4,0,0,0.33,0.36,0.36,0,,0.00
7620768014427275318,推送视频_SY改-植发-剧情-美学-混剪6-crc-wsm-（美学）-260312.mp4,广州,植发,剧情,,,无,,,,,SY,202603,,5016.25,7,7,6,0,0,0,0,0.86,0.00,0.00,0,,0.00
7588000693702049828,推送视频_植发混剪空空价格空镜希琛门头2方案马亚书251223251223,广州,植发,混剪,方案,方案,方案,空镜,空空,希琛,亚书,,,,4999.38,9,8,4,0,0,0,0,0.44,0.00,0.00,0,,0.00
7625939128539742260,SY植发-口播-广硕-价格-大厅-志松-撕纸-张明辉-251213-260407.mp4,广州,植发,口播,价格,,无,大厅,广硕,志松,明辉,SY,202604,,4960.28,10,10,4,2,1,0,0,0.40,0.20,0.10,0,,0.00
7645244311048405028,推送视频_8植发-剧情边框-豆豆MARC-舒曼-下调（技术）（案例）（诊室）-跃海-20260529-广审版.mp4,广州,植发,剧情,技术,案例,其他,诊室,豆豆|MARC,舒曼,跃海,,202605,,4676.29,10,7,3,1,1,0,0,0.30,0.14,0.14,0,,0.00
7576464778395893775,推送视频_本地生活-6植发-混剪脚本6-刘婷-hx-2511242026年（半美学）-251124.mp4,广州,植发,混剪,,,无,,,,刘婷,,202511,,4664.07,11,8,2,0,0,0,0,0.18,0.00,0.00,0,,0.00
7649226077018357770,推送视频_植发-剧情-豆豆依楠-设计-画线-诊室-刘超-女爆-LC-20260608(1).mp4,广州,植发,剧情,设计,画线,其他,诊室,依楠|豆豆,刘超,LC,,202606,,4652.21,7,7,5,0,0,0,0,0.71,0.00,0.00,0,,0.00
7647462369023213574,HB改-植发-混剪-空空-志松-女性美学-价格-空镜-20260604.mp4,广州,植发,混剪,价格,,无,空镜,空空,志松,,HB,202606,,4559.49,6,6,2,1,1,0,0,0.33,0.17,0.17,0,,0.00
7639280667696037926,推送视频_4植发-剧情-雅婷智贺-舒曼-不去了(女性美学)(道歉)(诊室)-晓君-20260513.mp4,广州,植发,剧情,女性美学,道歉,其他,诊室,雅婷|智贺,舒曼,晓君,,202605,,4496.21,9,9,5,0,0,0,0,0.56,0.00,0.00,0,,0.00
7620633028822220819,推送视频_13植发-剧情-雅婷智贺-舒曼-不去了(女性美学)(道歉)(诊室)-晓君-20260313.mp4,广州,植发,剧情,女性美学,道歉,其他,诊室,雅婷|智贺,舒曼,晓君,,202603,,3912.35,10,8,0,1,0,0,0,0.00,0.12,0.00,0,,0.00
7649681352838070313,推送视频_YG-植发-混剪-雅婷-2000根-价格-混拼-YG-260610.mp4,广州,植发,混剪,价格,,无,,雅婷,,,YG,202606,,3726.13,3,3,1,0,0,0,0,0.33,0.00,0.00,0,,0.00
7617744585830023210,HB改-植发-混剪-空空-黄笑-高额头-女性美学-空境-HB-20260316.mp4,广州,植发,混剪,女性美学,,无,,空空,黄笑,,HB,202603,,3570.53,4,3,3,0,0,0,0,0.75,0.00,0.00,0,,0.00
7629648372479770666,推送视频_本地生活-1植发-混剪1-陈晓君-gzs-260205敢不敢(技术)(诊室)-260205.mp4,深圳,植发,混剪,技术,,无,诊室,,,晓君,,202602,,3544.72,3,3,3,0,0,0,0,1.00,0.00,0.00,0,,0.00
7661529131923406875,植发-剧情-丽娜田涛-设计-优势-诊室-刘超-爆下-LC-20260709.mp4,广州,植发,剧情,设计,优势,其他,诊室,丽娜|田涛,刘超,LC,,202607,,3451.15,2,2,2,0,0,0,0,1.00,0.00,0.00,0,,0.00
7602138023439401010,推送视频_植发-混剪-空空-价格-空镜-希琛-大字报门头方案-马亚书-260127-260127.mp4,广州,植发,混剪,方案,方案,方案,空镜,空空,希琛,亚书,,202601,,3338.14,6,6,5,3,2,2,32000,0.83,0.50,0.33,32000,16000.00,9.59
7639280507613200419,推送视频_SY植发-混剪-陈晓君-舒曼-喜欢吗(价格)(空镜)-260505.mp4,广州,植发,混剪,价格,,无,空镜,,舒曼,晓君,SY,202605,,3193.87,5,5,2,0,0,0,0,0.40,0.00,0.00,0,,0.00
7631098334070865983,推送视频_5植发-混剪-空空-黄笑-表格(女性美学)(漂亮)(空镜)-陈晓君-20260415.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,黄笑,晓君,,202604,,3075.50,8,8,2,0,0,0,0,0.25,0.00,0.00,0,,0.00
7580288390320898111,推送视频_改广-本地生活-植发-实拍5-时亿-hx-1111-3200-方案-251113(2).mp4,广州,植发,,方案,方案,方案,,,,时亿,,203200,,2928.27,4,3,3,0,0,0,0,0.75,0.00,0.00,0,,0.00
7624742742012067840,植发混剪美学女性志松sy改-260404.mp4,广州,植发,混剪,,,无,,,志松,,,202604,,2926.70,3,3,3,0,0,0,0,1.00,0.00,0.00,0,,0.00
7644030409839722496,8植发-剧情-豆豆MARC-舒曼-下调（技术）（案例）（诊室）-跃海-20260525-深审版.mp4,深圳,植发,剧情,技术,案例,其他,诊室,豆豆|MARC,舒曼,跃海,,202605,,2434.88,5,4,3,0,0,0,0,0.60,0.00,0.00,0,,0.00
7612115314520784959,推送视频_HB改-植发-混剪-空空-舒曼-不去了-价格-空境-HB-20250301.mp4,广州,植发,混剪,价格,,无,,空空,舒曼,,HB,202503,,2287.20,4,4,0,1,1,0,0,0.00,0.25,0.25,0,,0.00
7635653880573067290,推送视频_HB改-植发-混剪-空空-不疼吧-价格-空镜-HF-HB-20260503.mp4,广州,植发,混剪,价格,,无,空镜,空空,,,HB|HF,202605,,2076.36,2,2,1,0,0,0,0,0.50,0.00,0.00,0,,0.00
7628453831710507042,推送视频_3植发-边框剧情-凤龙丹丹-舒曼-花瓣形（女性美学）（漂亮）（诊室）-艳秋-260414.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,凤龙|丹丹,舒曼,艳秋,,202604,,2006.57,3,2,1,0,0,0,0,0.33,0.00,0.00,0,,0.00
7625840460668239887,推送视频_6植发-混剪-空空-舒曼-80毛囊(价格)(钱)(空镜)-晓君-20260403.mp4,深圳,植发,混剪,价格,钱,其他,空镜,空空,舒曼,晓君,,202604,,1698.01,4,4,1,0,0,0,0,0.25,0.00,0.00,0,,0.00
7633228173375520810,推送视频_HB改-植发-混剪-空空-志松-睡一觉-价格-诊室-HB-20250301.mp4,广州,植发,混剪,价格,,无,诊室,空空,志松,,HB,202503,,1581.43,2,2,1,2,2,1,3380,0.50,1.00,1.00,3380,3380.00,2.14
7625938479236382760,SY改广植发-混剪-空空-方案+大字报-260404.mp4,广州,植发,混剪,方案,方案,方案,,空空,,,SY,202604,,1544.25,3,3,2,0,0,0,0,0.67,0.00,0.00,0,,0.00
7624912260595859507,SY改7植发-剧情-昊天丽娜-志松-鬓角区35-260404.mp4,广州,植发,剧情,,,无,,丽娜|昊天,志松,,SY,202604,,1511.18,0,0,0,0,0,0,0,,,,0,,0.00
7617745017533333539,推送视频_HB改-植发-混剪-舒曼-秃不秃剪掉分层植发-女性美学-空境-HB-20260316.mp4,广州,植发,混剪,女性美学,,无,,,舒曼,,HB,202603,,1272.01,0,0,0,0,0,0,0,,,,0,,0.00
7628501061726666758,推送视频_8植发-混剪-空空-舒曼-流行(女性美学)(漂亮)(空镜)-晓君-20260331.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,舒曼,晓君,,202603,,1267.13,4,4,4,0,0,0,0,1.00,0.00,0.00,0,,0.00
7615244493588234255,HB改-植发-混剪-空空-黄笑-高额头变女神-女性美学-空境-HB-20260309.mp4,广州,植发,混剪,女性美学,,无,,空空,黄笑,,HB,202603,,1192.82,3,3,2,1,0,0,0,0.67,0.33,0.00,0,,0.00
7661884696676352006,推送视频_3植发-剧情-豆豆MARC-舒曼-贴点（女性美学）（发际线下调）（诊室）-王磊-20260710.mp4,广州,植发,剧情,女性美学,发际线下调,发际线下调,诊室,豆豆|MARC,舒曼,王磊,,202607,,1177.59,2,2,1,0,0,0,0,0.50,0.00,0.00,0,,0.00
7604682792791588879,推送视频_本地生活-1植发-混剪1-陈晓君-gzs-260205敢不敢(技术)(诊室)-260205.mp4,广州,植发,混剪,技术,,无,诊室,,,晓君,,202602,,1166.40,3,2,2,1,1,0,0,0.67,0.50,0.50,0,,0.00
7645244171776049178,推送视频_8植发-剧情-豆豆MARC-舒曼-下调（技术）（案例）（诊室）-跃海-20260529-广审版.mp4,广州,植发,剧情,技术,案例,其他,诊室,豆豆|MARC,舒曼,跃海,,202605,,995.72,0,0,0,0,0,0,0,,,,0,,0.00
7659333370759725083,推送视频_1植发-剧情创新-齐政莱莱 -舒曼-小一圈（女性美学）（漂亮）（诊室）-跃海-260703.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,,舒曼,跃海,,202607,,953.76,5,5,3,1,1,1,11000,0.60,0.20,0.20,11000,11000.00,11.53
7597989363764035622,推送视频_植发-剧情-丽娜田涛-设计-诊室-刘超-女性算毛囊咨询-260107-260118.mp4,广州,植发,剧情,设计,,无,诊室,丽娜|田涛,刘超,,,202601,,872.20,2,2,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7649660007034437672,推送视频_HB改植发混剪空空女性美学黄笑高额头空境20260610.mp4,广州,植发,混剪,女性美学,,无,,空空,黄笑,,HB,202606,,846.93,1,2,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7602874944947486739,推送视频_本地生活9植发混剪9陈晓君wsm260130睡一技术空镜260130,广州,植发,混剪,技术,,无,空镜,,,晓君,,202601,,846.87,1,1,1,0,0,0,0,1.00,0.00,0.00,0,,0.00
7654458181705908234,XX-植发-混剪-空空-舒曼-2026（女性美学）（漂亮）（空镜）-李铁良-20260623.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,舒曼,铁良,XX,202606,,785.49,2,2,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7618957231766798355,推送视频_3植发-混剪-空空-志松-2026新流行（女性美学）（对比）（空镜）-艳秋-20260317.mp4,广州,植发,混剪,女性美学,对比,其他,空镜,空空,志松,艳秋,,202603,,777.30,2,2,1,0,0,0,0,0.50,0.00,0.00,0,,0.00
7650022137834061878,推送视频_植发-拼接-空空-技术-漂亮-空镜-王赫-头像7女）-WH-260611.mp4,广州,植发,,技术,漂亮,其他,空镜,空空,王赫,WH|王赫,,202606,,774.30,3,3,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7651812084554530851,推送视频_1植发-剧情-MARC圣男-志松-2cm（女性美学）（漂亮）（诊室）-跃海-20260615.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,圣男|MARC,志松,跃海,,202606,,736.20,0,0,0,0,0,0,0,,,,0,,0.00
7598075366923026483,推送视频_0122-my改.mp4,广州,,,,,无,,,,,,200122,,729.44,0,0,0,0,0,0,0,,,,0,,0.00
7661525832738865187,植发-混剪-空空-空镜-时间-钱-门头大字报2-希琛-马亚书-260707.mp4,广州,植发,混剪,时间,钱,其他,空镜,空空,希琛,亚书,,202607,,701.42,1,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7662980360336425001,植发-混剪-空空-舒曼志松-发际线（女性美学）（发际线下调）（空镜）-跃海-20260716.mp4,广州,植发,混剪,女性美学,发际线下调,发际线下调,空镜,空空,志松|舒曼,跃海,,202607,1,699.46,2,2,2,0,0,0,0,1.00,0.00,0.00,0,,0.00
7644026248663892002,推送视频_11植发-剧情边框-豆豆MARC-舒曼-高回报（效果）（漂亮）（诊室）-跃海-20260525-广审版.mp4,广州,植发,剧情,效果,漂亮,其他,诊室,豆豆|MARC,舒曼,跃海,,202605,,699.10,1,1,1,0,0,0,0,1.00,0.00,0.00,0,,0.00
7610264376173297698,推送视频_0224-秃不秃&半美学02.mp4,广州,,,,,无,,,,,,200224,,684.29,1,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7615243192360861711,HB改-植发-混剪-空空-笑笑-2026毛流感拼高额头-女性美学-空境-HB-20260309.mp4,广州,植发,混剪,女性美学,,无,,空空,,,HB,202603,,679.60,1,2,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7622502169217253391,推送视频_6植发-剧情-圣男广硕-舒曼-花瓣形（女性美学）（漂亮）（诊室）-跃海-260324-广审版.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,圣男|广硕,舒曼,跃海,,202603,,609.07,3,3,3,1,1,0,0,1.00,0.33,0.33,0,,0.00
7646294030086881330,19植发-口播-圣男-美学-漂亮-诊室-刘超-努力-时亿-260601.mp4,广州,植发,口播,,漂亮,其他,诊室,圣男,刘超,时亿,,202606,,602.32,2,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7598452162448392211,推送视频_本地生活-1植发-混剪脚本1-wsm3-5-刘婷-hx-260119（美学）-260119-广审.mp4,广州,植发,混剪,,,无,,,,刘婷,,202601,,581.00,0,0,0,0,0,0,0,,,,0,,0.00
7644026424793874478,推送视频_9植发-剧情边框-豆豆MARC-志松-大脑门（效果）（漂亮）（诊室）-跃海-20260525-广审版.mp4,广州,植发,剧情,效果,漂亮,其他,诊室,豆豆|MARC,志松,跃海,,202605,,577.31,0,0,0,0,0,0,0,,,,0,,0.00
7615944340146962484,13植发-剧情-里格明宸-舒曼-年轻(女性美学)(诊室)-晓君-260305.mp4,广州,植发,剧情,女性美学,,无,诊室,明宸|里格,舒曼,晓君,,202603,,569.01,0,0,0,0,0,0,0,,,,0,,0.00
7624742644120256512,SY改植发剧情丽娜昊天价格志松-260404.mp4,广州,植发,剧情,价格,,无,,丽娜|昊天,志松,,SY,202604,,547.46,1,1,1,1,0,0,0,1.00,1.00,0.00,0,,0.00
7615248146675744795,HB改-植发-混剪-空空-黄笑-秃不秃拼高额头-女性美学-空境-HB-20260309.mp4,广州,植发,混剪,女性美学,,无,,空空,黄笑,,HB,202603,,542.16,0,0,0,0,0,0,0,,,,0,,0.00
7604123193789366326,推送视频_本地生活-美学-混剪6-crc-wsm-（美学）-260127.mp4,广州,,混剪,,,无,,,,,,202601,,542.15,0,0,0,0,0,0,0,,,,0,,0.00
7614531896954535970,推送视频_2植发-剧情-里格明宸-舒曼-不去了（价格）（诊室）-时亿-260303(1).mp4,广州,植发,剧情,价格,,无,诊室,明宸|里格,舒曼,时亿,,202603,,533.57,1,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7628453709054984255,推送视频_7植发-边框剧情-凤龙丹丹-舒曼-植了没植（女性美学）（漂亮）（诊室）-艳秋-260414.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,凤龙|丹丹,舒曼,艳秋,,202604,,495.20,2,1,1,0,0,0,0,0.50,0.00,0.00,0,,0.00
7661528348268740671,植发-剧情-昊天依楠-设计-优势-诊室-刘超-爆天-LC-20260709.mp4,广州,植发,剧情,设计,优势,其他,诊室,昊天|依楠,刘超,LC,,202607,,478.89,0,0,0,0,0,0,0,,,,0,,0.00
7615248262971392040,HB改-植发-混剪-空空-黄笑-秃不秃拼高额头02-女性美学-空境-HB-20260309.mp4,广州,植发,混剪,女性美学,,无,,空空,黄笑,,HB,202603,,478.80,1,1,1,1,1,0,0,1.00,1.00,1.00,0,,0.00
7662664333559447586,11植发-剧情-豆豆MARC-舒曼-变化（女性美学）（效果对比）（诊室）-王磊-20260714.mp4,广州,植发,剧情,效果,对比,其他,诊室,豆豆|MARC,舒曼,王磊,,202607,,421.90,1,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7631097256619720755,推送视频_4植发-混剪-空空-黄笑-混美人尖(女性美学)(漂亮)(空镜)-陈晓君-20260414.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,黄笑,晓君,,202604,,409.03,1,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7660539371330437120,8植发-剧情-圣男博洋-舒曼-这么多人（女性美学）（漂亮）-王磊-20260701.mp4,深圳,植发,剧情,女性美学,漂亮,其他,,圣男,舒曼,王磊,,202607,,405.79,0,0,0,0,0,0,0,,,,0,,0.00
7660363370995449871,4植发-剧情-齐政莱莱 -舒曼杨光-好看（女性美学）（漂亮）（诊室）-跃海-20260707.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,,舒曼|杨光,跃海,,202607,1,400.97,1,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7657024906941415434,3植发-剧情创新-齐政莱莱 -舒曼-好几万（女性美学）（漂亮）（诊室）-跃海-20260626-2版.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,,舒曼,跃海,,202606,,390.47,3,3,2,0,0,0,0,0.67,0.00,0.00,0,,0.00
7657826431124520998,2植发-口播创新-延旭 -志松文杰-变美（女性美学）（优势）（诊室）-跃海-20260701.mp4,广州,植发,口播,女性美学,优势,其他,诊室,,志松|文杰,跃海,,202607,1,373.68,1,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7637364592556310563,推送视频_植发-剧情-广硕小哥-设计-优势-诊室-刘超-去哪儿-刘超-20260506.mp4,广州,植发,剧情,设计,优势,其他,诊室,广硕|小哥,刘超,,,202605,,370.73,1,0,0,0,0,0,0,0.00,,,0,,0.00
7619949731214016531,7植发-剧情-昊天丽娜-志松-鬓角区35（半女性美学）（漂亮）（诊室）-时亿-260318(1).mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,丽娜|昊天,志松,时亿,,202603,,358.77,0,0,0,0,0,0,0,,,,0,,0.00
7651933229202685967,推送视频_YG-植发-混剪-刘婷-志松-2000根-价格-划线-YG-260616.mp4,广州,植发,混剪,价格,,无,,,志松,刘婷,YG,202606,,358.67,0,0,0,0,0,0,0,,,,0,,0.00
7636642505713532937,推送视频_10植发-剧情创新-昊天馨以-舒曼-案例（女性美学）（漂亮）（诊室）-艳秋-260506.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,昊天,舒曼,艳秋,,202605,,355.08,0,0,0,0,0,0,0,,,,0,,0.00
7630408893576511542,推送视频_1植发-混剪-汝春-黄笑-（女性美学）-20260417.mp4,广州,植发,混剪,女性美学,,无,,,黄笑,汝春,,202604,,339.76,2,2,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
7645244192906330154,推送视频_2植发-剧情-昊天豆豆-志松-美人尖(女性美学)(技术)(诊室)-晓君-20260601.mp4,广州,植发,剧情,技术,,无,诊室,昊天|豆豆,志松,晓君,,202606,,329.25,0,0,0,0,0,0,0,,,,0,,0.00
7659333367353229363,推送视频_2植发-剧情创新-齐政莱莱 -舒曼-二十年前（女性美学）（质价比）（优势）（诊室）-跃海-260703.mp4,广州,植发,剧情,女性美学,优势,其他,诊室,,舒曼,跃海,,202607,,328.65,2,2,2,0,0,0,0,1.00,0.00,0.00,0,,0.00
7634465607732838426,推送视频_YG-植发-剧情-张明辉-舒曼-价格-问诊-浓密点-YG-260430.mp4.mp4,广州,植发,剧情,价格,,无,,,舒曼,明辉,YG,202604,,325.91,0,0,0,0,0,0,0,,,,0,,0.00
7646295664490512425,推送视频_26植发-剧情-丽娜昊天-女性设计-画线-诊室-刘超-误会-时亿-260601(1).mp4,广州,植发,剧情,设计,画线,其他,诊室,丽娜|昊天,刘超,时亿,,202606,,307.28,0,0,0,0,0,0,0,,,,0,,0.00
7597266268194111514,推送视频_本地生活9植发实拍脚本9刘婷gzs2512102000根头发价格251211,广州,植发,,价格,,无,,,,刘婷,,202512,,306.75,1,1,1,0,0,0,0,1.00,0.00,0.00,0,,0.00
7663065928338833418,11植发-口播创新-MARC-志松-样子（女性美学）（美学方案定制）（诊室）-跃海-2607-12-13-14-16.mp4,深圳,植发,口播,方案,方案,方案,诊室,MARC,志松,跃海,,202607,,284.25,1,1,0,0,0,0,0,0.00,0.00,0.00,0,,0.00
